TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
3/13/2025,20250313,12,899387,924.082,2448.02,82
3/13/2025,20250313,13,899387,878.851,2357.83,73
3/13/2025,20250313,14,899387,693.755,1865.54,63
3/13/2025,20250313,15,899387,823.053,2126.39,74
3/13/2025,20250313,16,899387,835.184,2202.65,78
3/13/2025,20250313,17,899387,1091.898,2897.84,92
3/13/2025,20250313,18,899387,723.297,1895.68,72
3/13/2025,20250313,19,899387,520.484,1415.09,50
3/13/2025,20250313,20,899387,489.365,1299.92,46
3/13/2025,20250313,21,899387,432.78,1158.37,44
3/13/2025,20250313,22,899387,350.458,938.39,35
3/13/2025,20250313,23,899387,187.51,473.27,20
3/14/2025,20250314,0,899387,144.939,384.26,16
3/14/2025,20250314,1,899387,134.099,342.58,14
3/14/2025,20250314,2,899387,53.366,135.33,8
3/14/2025,20250314,3,899387,97.481,259.81,11
3/14/2025,20250314,4,899387,128.658,345.61,13
3/14/2025,20250314,5,899387,263.046,665.9,26
3/14/2025,20250314,6,899387,501.677,1337.99,35
3/14/2025,20250314,7,899387,693.074,1852.55,55
3/14/2025,20250314,8,899387,550.317,1440.03,45
